DenominazioneAttività,CFU
Macchine e Impianti Elettrici,0.5
Elettronica Analogica,0.5
Internet e Multimedia,1
Didattica del disegno tecnico,0.5
Educazione e cultura visuale,0.5
Laboratorio di ascolto e interpretazione del linguaggio musicale classico ,0.5
Laboratorio di ascolto e interpretazione del linguaggio musicale,0.5
Laboratorio di ascolto e interpretazione del linguaggio musicale classico,0.5
Didattica della Chimica e Tecnologia dei materiali – Modulo 1,0.5
Didattica della teoria filosofica 1,1
Laboratorio di didattica della composizione,0.5
Didattica dell'economia aziendale,1
Didattica della Chimica e Tecnologia dei materiali – Modulo 2,0.5
Elettronica Digitale,0.5
Didattica dello spagnolo - Modulo A,0.5
"La parola cantata: metodi, strumenti e prospettive didattiche",0.5
Laboratotio di didattica delle culture coreiche contemporanee,0.5
Tecnologie musicali ed educazione digitale,0.5
Circuiti elettrici ed elettronici,1
Valutazione scolastica,0.5
Pedagogia generale e interculturale,0.5
Legislazione scolastica,0.5
Didattica inclusiva,0.5
Didattica della Letteratura inglese,0.5
Didattica di economia e gestione delle imprese - primo modulo,1
"Didattica di Fisica Moderna 1, Mod.1",0.5
Didattica della Matematica,0.5
Processi geologici superficiali,0.3
Didattica della storia dell'arte antica,0.5
Media Literacy e cultura digitale ,0.5
Didattica dei linguaggi della musica contemporanea,0.5
Didattica della lingua italiana 1,0.5
Didattica della grammatica araba,0.5
"Laboratorio per la Didattica della Fisica 1, Mod.2",0.5
Laboratorio di Geometria 2,0.5
Temi e Snodi Pensiero Filosofico I,0.5
Didattica della storia dell'arte medievale,0.5
Media education,0.5
Didattica della letteratura italiana 1,0.5
Didattica della lingua e letteratura greca 1,0.5
Storia e Didattica della Chimica,0.3
Didattica della cultura araba,0.5
Educazione linguistica,0.5
Competenze informatiche e coding,0.5
"Ricerca, progettazione e innovazione nella pedagogia e nella didattica della musica",0.5
Progettazione didattica e metodologie innovative,0.5
Didattica del marketing,1
Didattica della Costruzione di macchine,0.5
Didattica di Fisica Moderna 2,0.5
Società e Cambiamento Sociale,0.5
Composizione architettonica,1
Disegno,1
Didattica della Chimica,0.33
Didattica delle Lingue moderne 1,0.5
Didattica delle lingue moderne 1,0.5
Didattica della storia della filosofia,0.5
"Didattica e Comunicazione della Fisica, Mod 2",0.5
Pedagogia generale e sociale,0.5
Didattica della storia dell'arte moderna,0.5
Didattica della lingua e letteratura latina 1,0.5
Didattica della letteratura italiana 3,0.5
Didattica di economia e gestione delle imprese - secondo modulo,1
Didattica delle Misure meccaniche,0.5
Didattica dei Fenomeni Elettrici e Magnetici - modulo 1,0.5
Didattica dell'inglese,0.5
Complementi di strumentazione per il laboratorio di elettrotecnica ed elettronica,1
Regolazione dell’espressione genica in risposta agli stimoli ambientali,0.3
Didattica della storia dell'arte contemporanea,0.5
Fondamenti e interrogativi di psicologia generale,0.5
Scienza delle costruzioni,1
Discipline del progetto 1,1
Didattica interdisciplinare della filosofia,1
Metodologie Didattiche per Laboratori di Fisica nella Scuola secondaria di I grado,0.33
Didattica della Letteratura francese,0.5
Didattica dello spagnolo,0.5
Didattica della letteratura araba,0.5
Algebra e geometria nella Scuola Secondaria di Primo Grado,0.33
Storia della pedagogia e delle istituzioni educative,0.5
Didattica della geografia 1,0.5
Laboratorio di editing suono/immagine,0.5
Analisi e didattica delle forme musicali,0.5
Didattica dell'amministrazione pubblica,1
Didattica del Disegno di macchine,0.5
Laboratorio di editing suono/immagine ,0.5
Laboratorio di didattica disciplinare B,0.5
Fondamenti ed interrogativi della psicologia dello sviluppo,0.5
Didattica della psicologia,0.5
Tecnologia dell'architettura,1
Didattica dei Sistemi di conversione e utilizzazione dell’energia,0.5
Intelligenza artificiale per circuiti e sistemi elettrici,1
Metodologie e tecnologie della didattica digitale,0.5
Psicologia per l’insegnamento e l’apprendimento,0.5
Didattica della storia dell'arte moderna,1
Didattica di organizzazione aziendale e gestione delle persone - primo modulo,1
Didattica delle Macchine - Modulo 1 ,0.5
Didattica della Chimica e Tecnologia dei materiali – Modulo 3,0.5
Intelligenza artificiale per l'elaborazione dei segnali,0.5
Complementi di simulazione e progettazione di circuiti elettrici,1
Culture del patrimonio architettonico,0.5
Didattica della letteratura italiana 6,0.5
Strategie e metodologie per la progettazione didattica,0.5
Storia dell'architettura e della città,1
Rappresentazione geometrica,1
Didattica delle Lingue moderne 3,0.5
Didattica delle lingue moderne 3,0.5
Didattica di organizzazione aziendale e gestione delle persone - secondo modulo,1
Didattica della Tecnologia dei processi produttivi – Modulo 1,0.5
Elementi di simulazione e progettazione di circuiti elettrici,1
Geni e Ambiente,0.3
Storia della città,0.5
Disegno ,1
Metodi e modelli per il progetto di architettura,1
"Fisica di frontiera, contaminazioni interdisciplinari, scenari per il futuro",0.33
Didattica delle Lingue moderne 4,0.5
Didattica delle lingue moderne 5,0.5
"Didattica e Comunicazione della Fisica, Mod 1",0.5
Didattica della storia antica 1,0.5
Storia dell’architettura,0.5
Didattica del bilancio di esercizio,1
Ambiente ed evoluzione microbica,0.3
Laboratorio didattica disciplinare A,0.5
Didattica della teoria filosofica 2,0.5
Laboratorio didattica della lingua francese,0.5
Didattica della lingua italiana 2,0.5
Didattica della lingua italiana 5,0.5
Didattica della lingua e letteratura greca 2,0.5
Laboratorio di didattica disciplinare A,0.5
Didattica del lessico arabo e della variazione,0.5
"Strumenti, metodi e fonti per la storia dell'architettura",1
Storia della scuola e delle istituzioni educative,0.5
Psicologia dei processi cognitivi e affettivi,0.5
Didattica di economia degli intermediari finanziari - primo modulo,1
Didattica della Meccanica applicata alle macchine,0.5
Didattica delle Letterature anglo-americane,0.5
Complementi di progettazione di dispositivi elettronici,1
Didattica della storia moderna 1,0.5
Didattica della lingua italiana 7,0.5
Topografia,1
Botanica ed Ecologia: origini e fondamenti ,0.33
Didattica della lingua francese,0.5
Didattica della letteratura spagnola,0.5
Laboratorio di didattica disciplinare C,0.5
Diversità Animale,0.33
Didattica e Comunicazione della Fisica Mod.2 ,0.5
Didattica di economia degli intermediari finanziari - secondo modulo,1
Didattica della Sostenibilità energetica,0.5
Didatica dell'inglese,0.5
Elementi di progettazione di dispositivi elettronici,1
Didattica della letteratura italiana 8,0.5
Fondamenti e interrogativi di Psicologia sociale,0.5
Discipline del progetto 2,1
Didattica della storia della filosofia,1
Didattica delle letterature ispanoamericane,0.5
Didattica della letteratura francese,0.5
Educazione al patrimonio e didattica del museo e del territorio,0.5
Didattica della letteratura italiana 2,0.5
Laboratorio Didattica della letteratura francese,0.5
Laboratorio di visual design,0.5
Didattica della qualità dei processi e miglioramento delle performance - primo modulo,1
Metodologie didattiche per la Matematica,0.33
Processi geologici Profondi,0.3
Sicurezza nei Laboratori meccanici,0.5
Didattica della lingua e letteratura greca 3,0.5
Società e cambiamento sociale ,0.5
Processi culturali in trasformaizone,0.5
Didattica della Tecnologia dei processi produttivi – Modulo 2,1
Didattica di economia degli intermediari finanziari - terzo modulo,1
Didattica delle Macchine - Modulo 2 ,0.5
Complementi di laboratorio di misure elettriche ed elettroniche,1
"Laboratorio per la Didattica della Fisica 2, Mod.2",0.5
Didattica e transmedialità,0.5
Audiovisivo e identità culturale per la formazione,0.5
Didattica delle Lingue moderne 5,0.5
Didattica delle lingue moderne 4,0.5
Didattica della lingua e letteratura latina 3,0.5
Didattica dell'arte contemporanea,0.5
Paradigmi didattici e storia del cinema,0.5
Didattica della storia moderna 2,0.5
Didattica della qualità dei processi e miglioramento delle performance - secondo modulo,1
Elementi di laboratorio di misure elettriche ed elettroniche,1
Temi e Snodi Pensiero Filosofico II,0.5
Disegno e rappresentazione   ,0.5
Didattica della storia medievale 1,0.5
Didattica della letteratura italiana 7,0.5
Laboratorio Didattico di Scienze della Terra e di Astronomia,0.33
Didattica delle Lingue moderne 2,0.5
Didattica delle lingue moderne 2,0.5
"Didattica e comunicazione della Fisica, Mod 1",0.5
Didattica della lingua italiana 4,0.5
Risposte della cellula all’ambiente,0.3
Didattica della storia antica 2,0.5
Didattica della lingua italiana 3,0.5
Didattica della filosofia,0.5
Processi Culturali in Trasformazione I,0.5
Didattica della letteratura italiana 4,0.5
Didattica della revisione contabile - primo modulo,1
Didattica dei Fenomeni Elettrici e Magnetici modulo 2,0.5
I grandi cicli geologici del Pianeta Terra,0.3
Didattica delle Lingue moderne 6,0.5
Didattica delle lingue moderne 6,0.5
Metodologia del Diritto privato,1
Didattica della revisione contabile - secondo modulo,1
Elementi di strumentazione per il laboratorio di elettrotecnica ed elettronica,1
Risposte degli organismi vegetali all’ambiente,0.3
Didattica della lingua italiana 8,0.5
Metodologia dell'insegnamento del diritto commerciale ,0.66
Fisica tecnica,1
Laboratorio Didattica della lingua francese,0.5
Didattica della lingua italiana 6,0.5
Didattica della storia contemporanea 1,0.5
Didattica della storia contemporanea 1,1
Didattica dell'economia politica,1
Didattica dell'analisi di bilancio,1
Sociologia dell'educazione,0.5
Didattica della Chimica degli alimenti,0.5
Elettronica Digitale,1
Didattica della storia contemporanea 2,0.5
Didattica della lingua e letteratura latina 2,0.5
Discipline del progetto 3,1
Laboratorio disciplinare B  (letteratura spagnola),0.5
Risposte degli organismi animali all’ambiente,0.3
La Terra nello Spazio e nel Tempo,0.33
Didattica della letteratura italiana 5,0.5
Metodologia del diritto costituzionale,0.66
Didattica della storia medievale 2,1
Didattica della geografia 2,0.5
Metodologia dell'insegnamento del diritto amministrativo ,1
"Laboratorio per la Didattica della Fisica 2, Mod.1",0.5
"Ambiente, nutrizione e metabolismo",0.3
Laboratorio didattico di Geologia,0.3
Didattica della lingua italiana 9,0.5
Metodi modelli per il progetto di architettura,1
Calore ed energia nelle trasformazioni della materia,0.33
Didattica delle scienze delle finanze,1
